номер_заказа,код_клиента,дата_заказа,категория_товара,цена,количество,способ_оплаты
ЗАКАЗ1000,КЛИЕНТ1,2025-03-02,Электроника,43.04,1,Apple Pay
ЗАКАЗ1001,КЛИЕНТ50,2024-07-17,Электроника,91.99,2,Банковская карта
ЗАКАЗ1002,КЛИЕНТ47,2025-04-06,Одежда,49.95,4,PayPal
ЗАКАЗ1003,КЛИЕНТ6,2024-08-05,Электроника,12.22,1,PayPal
ЗАКАЗ1004,КЛИЕНТ47,2025-06-01,Электроника,60.14,3,Apple Pay
ЗАКАЗ1005,КЛИЕНТ30,2025-05-10,Дом,161.21,3,Банковская карта
ЗАКАЗ1006,КЛИЕНТ41,2024-10-18,Одежда,56.02,4,Банковская карта
ЗАКАЗ1007,КЛИЕНТ43,2024-07-13,Одежда,95.52,3,Банковский перевод
ЗАКАЗ1008,КЛИЕНТ45,2025-04-04,Электроника,117.8,4,Банковская карта
ЗАКАЗ1009,КЛИЕНТ23,2024-06-30,Одежда,22.94,3,Apple Pay
ЗАКАЗ1010,КЛИЕНТ5,2024-10-26,Дом,21.92,2,PayPal
ЗАКАЗ1011,КЛИЕНТ35,2024-11-17,Дом,57.21,1,Apple Pay
ЗАКАЗ1012,КЛИЕНТ26,2025-05-21,Книги,36.47,2,Банковская карта
ЗАКАЗ1013,КЛИЕНТ14,2024-08-10,Дом,101.59,1,PayPal
ЗАКАЗ1014,КЛИЕНТ28,2024-10-27,Книги,125.14,1,Apple Pay
ЗАКАЗ1015,КЛИЕНТ14,2025-03-29,Электроника,31.8,1,Банковская карта
ЗАКАЗ1016,КЛИЕНТ32,2025-03-08,Книги,23.52,2,Банковская карта
ЗАКАЗ1017,КЛИЕНТ18,2025-02-27,Книги,85.83,1,Банковская карта
ЗАКАЗ1018,КЛИЕНТ21,2025-03-02,Электроника,26.07,2,Банковский перевод
ЗАКАЗ1019,КЛИЕНТ19,2025-04-02,Книги,96.47,4,Банковский перевод
ЗАКАЗ1020,КЛИЕНТ22,2025-02-01,Дом,37.56,3,Банковский перевод
ЗАКАЗ1021,КЛИЕНТ36,2025-04-01,Электроника,65.06,3,PayPal
ЗАКАЗ1022,КЛИЕНТ37,2025-04-11,Одежда,15.02,1,Apple Pay
ЗАКАЗ1023,КЛИЕНТ9,2024-06-30,Книги,58.89,2,PayPal
ЗАКАЗ1024,КЛИЕНТ37,2025-03-13,Дом,40.05,3,PayPal
ЗАКАЗ1025,КЛИЕНТ32,2025-05-12,Одежда,54.17,2,Банковская карта
ЗАКАЗ1026,КЛИЕНТ22,2025-05-01,Электроника,19.2,2,Банковская карта
ЗАКАЗ1027,КЛИЕНТ44,2024-12-29,Электроника,76.76,1,PayPal
ЗАКАЗ1028,КЛИЕНТ49,2025-01-31,Электроника,109.31,3,Apple Pay
ЗАКАЗ1029,КЛИЕНТ4,2024-11-19,Дом,22.21,1,Банковский перевод
